Welcome
SampleRate (Hz): Base: A0 0 27.5Hz, to A0, 4096Hz 0x1000
Base: C5 51 523.251Hz, to F2, 683.439Hz 0x2ab
Base: C5 51 523.251Hz, to F♯2, 724.077Hz 0x2d4
Base: C5 51 523.251Hz, to G2, 767.134Hz 0x2ff
Base: C5 51 523.251Hz, to G♯2, 812.748Hz 0x32d
Base: C5 51 523.251Hz, to A2, 861.078Hz 0x35d
Base: C5 51 523.251Hz, to A♯2, 912.281Hz 0x390
Base: C5 51 523.251Hz, to B2, 966.529Hz 0x3c7
Base: C5 51 523.251Hz, to C3, 1024Hz 0x400
Base: C5 51 523.251Hz, to C♯3, 1084.89Hz 0x43d
Base: C5 51 523.251Hz, to D3, 1149.4Hz 0x47d
Base: C5 51 523.251Hz, to D♯3, 1217.74Hz 0x4c2
Base: C5 51 523.251Hz, to E3, 1290.16Hz 0x50a
Base: C5 51 523.251Hz, to F3, 1366.88Hz 0x557
Base: C5 51 523.251Hz, to F♯3, 1448.15Hz 0x5a8
Base: C5 51 523.251Hz, to G3, 1534.27Hz 0x5fe
Base: C5 51 523.251Hz, to G♯3, 1625.5Hz 0x659
Base: C5 51 523.251Hz, to A3, 1722.16Hz 0x6ba
Base: C5 51 523.251Hz, to A♯3, 1824.56Hz 0x721
Base: C5 51 523.251Hz, to B3, 1933.06Hz 0x78d
Base: C5 51 523.251Hz, to C4, 2048Hz 0x800
Base: C5 51 523.251Hz, to C♯4, 2169.78Hz 0x87a
Base: C5 51 523.251Hz, to D4, 2298.8Hz 0x8fb
Base: C5 51 523.251Hz, to D♯4, 2435.5Hz 0x983
Base: C5 51 523.251Hz, to E4, 2580.32Hz 0xa14
Base: C5 51 523.251Hz, to F4, 2733.75Hz 0xaae
Base: C5 51 523.251Hz, to F♯4, 2896.31Hz 0xb50
Base: C5 51 523.251Hz, to G4, 3068.53Hz 0xbfd
Base: C5 51 523.251Hz, to G♯4, 3251Hz 0xcb3
Base: C5 51 523.251Hz, to A4, 3444.31Hz 0xd74
Base: C5 51 523.251Hz, to A♯4, 3649.12Hz 0xe41
Base: C5 51 523.251Hz, to B4, 3866.11Hz 0xf1a
Base: C5 51 523.251Hz, to C5, 4096Hz 0x1000
Base: C5 51 523.251Hz, to C♯5, 4339.56Hz 0x10f4
Base: C5 51 523.251Hz, to D5, 4597.61Hz 0x11f6
Base: C5 51 523.251Hz, to D♯5, 4870.99Hz 0x1307
Base: C5 51 523.251Hz, to E5, 5160.64Hz 0x1429
Base: C5 51 523.251Hz, to F5, 5467.5Hz 0x155c
Base: C5 51 523.251Hz, to F♯5, 5792.62Hz 0x16a1
Base: C5 51 523.251Hz, to G5, 6137.07Hz 0x17f9
Base: C5 51 523.251Hz, to G♯5, 6501.99Hz 0x1966
Base: C5 51 523.251Hz, to A5, 6888.63Hz 0x1ae9
Base: C5 51 523.251Hz, to A♯5, 7298.25Hz 0x1c82
Base: C5 51 523.251Hz, to B5, 7732.22Hz 0x1e34
Base: C5 51 523.251Hz, to C6, 8191.98Hz 0x2000
Base: C5 51 523.251Hz, to C♯6, 8679.12Hz 0x21e7
Base: C5 51 523.251Hz, to D6, 9195.22Hz 0x23eb
Base: C5 51 523.251Hz, to D♯6, 9742Hz 0x260e
Base: C5 51 523.251Hz, to E6, 10321.3Hz 0x2851
Base: C5 51 523.251Hz, to F6, 10935Hz 0x2ab7
Base: C5 51 523.251Hz, to F♯6, 11585.3Hz 0x2d41
Base: C5 51 523.251Hz, to G6, 12274.1Hz 0x2ff2
Base: C5 51 523.251Hz, to G♯6, 13004Hz 0x32cc
Base: C5 51 523.251Hz, to A6, 13777.3Hz 0x35d1
Base: C5 51 523.251Hz, to A♯6, 14596.5Hz 0x3905
Base: C5 51 523.251Hz, to B6, 15464.4Hz 0x3c68
Base: C5 51 523.251Hz, to C7, 16384Hz 0x3fff
Base: C♯5 52 554.365Hz, to A0, 203.187Hz 0xcb
Base: C♯5 52 554.365Hz, to A♯0, 215.269Hz 0xd7
Base: C♯5 52 554.365Hz, to B0, 228.07Hz 0xe4
Base: C♯5 52 554.365Hz, to C1, 241.632Hz 0xf2
Base: C♯5 52 554.365Hz, to C♯1, 256Hz 0x100
Base: C♯5 52 554.365Hz, to D1, 271.223Hz 0x10f
Base: C♯5 52 554.365Hz, to D♯1, 287.351Hz 0x11f
Base: C♯5 52 554.365Hz, to E1, 304.437Hz 0x130
Base: C♯5 52 554.365Hz, to F1, 322.54Hz 0x143
Base: C♯5 52 554.365Hz, to F♯1, 341.719Hz 0x156
Base: C♯5 52 554.365Hz, to G1, 362.039Hz 0x16a
Base: C♯5 52 554.365Hz, to G♯1, 383.567Hz 0x180
Base: C♯5 52 554.365Hz, to A1, 406.375Hz 0x196
Base: C♯5 52 554.365Hz, to A♯1, 430.539Hz 0x1af
Base: C♯5 52 554.365Hz, to B1, 456.14Hz 0x1c8
Base: C♯5 52 554.365Hz, to C2, 483.264Hz 0x1e3
Base: C♯5 52 554.365Hz, to C♯2, 512.001Hz 0x200
Base: C♯5 52 554.365Hz, to D2, 542.445Hz 0x21e
Base: C♯5 52 554.365Hz, to D♯2, 574.701Hz 0x23f
Base: C♯5 52 554.365Hz, to E2, 608.874Hz 0x261
Base: C♯5 52 554.365Hz, to F2, 645.08Hz 0x285
Base: C♯5 52 554.365Hz, to F♯2, 683.438Hz 0x2ab
Base: C♯5 52 554.365Hz, to G2, 724.078Hz 0x2d4
Base: C♯5 52 554.365Hz, to G♯2, 767.132Hz 0x2ff
Base: C♯5 52 554.365Hz, to A2, 812.75Hz 0x32d
Base: C♯5 52 554.365Hz, to A♯2, 861.079Hz 0x35d
Base: C♯5 52 554.365Hz, to B2, 912.282Hz 0x390
Base: C♯5 52 554.365Hz, to C3, 966.529Hz 0x3c7
Base: C♯5 52 554.365Hz, to C♯3, 1024Hz 0x400
Base: C♯5 52 554.365Hz, to D3, 1084.89Hz 0x43d
Base: C♯5 52 554.365Hz, to D♯3, 1149.4Hz 0x47d
Base: C♯5 52 554.365Hz, to E3, 1217.75Hz 0x4c2
Base: C♯5 52 554.365Hz, to F3, 1290.16Hz 0x50a
Base: C♯5 52 554.365Hz, to F♯3, 1366.88Hz 0x557
Base: C♯5 52 554.365Hz, to G3, 1448.16Hz 0x5a8
Base: C♯5 52 554.365Hz, to G♯3, 1534.26Hz 0x5fe
Base: C♯5 52 554.365Hz, to A3, 1625.5Hz 0x659
Base: C♯5 52 554.365Hz, to A♯3, 1722.16Hz 0x6ba
Base: C♯5 52 554.365Hz, to B3, 1824.56Hz 0x721
Base: C♯5 52 554.365Hz, to C4, 1933.06Hz 0x78d
Base: C♯5 52 554.365Hz, to C♯4, 2048Hz 0x800
Base: C♯5 52 554.365Hz, to D4, 2169.78Hz 0x87a
Base: C♯5 52 554.365Hz, to D♯4, 2298.8Hz 0x8fb
Base: C♯5 52 554.365Hz, to E4, 2435.5Hz 0x984
Base: C♯5 52 554.365Hz, to F4, 2580.32Hz 0xa14
Base: C♯5 52 554.365Hz, to F♯4, 2733.75Hz 0xaae
Base: C♯5 52 554.365Hz, to G4, 2896.31Hz 0xb50
Base: C♯5 52 554.365Hz, to G♯4, 3068.54Hz 0xbfd
Base: C♯5 52 554.365Hz, to A4, 3251Hz 0xcb3
Base: C♯5 52 554.365Hz, to A♯4, 3444.32Hz 0xd74
Base: C♯5 52 554.365Hz, to B4, 3649.12Hz 0xe41
Base: C♯5 52 554.365Hz, to C5, 3866.11Hz 0xf1a
Base: C♯5 52 554.365Hz, to C♯5, 4096Hz 0x1000
Base: C♯5 52 554.365Hz, to D5, 4339.57Hz 0x10f4
Base: C♯5 52 554.365Hz, to D♯5, 4597.61Hz 0x11f6
Base: C♯5 52 554.365Hz, to E5, 4870.99Hz 0x1307
Base: C♯5 52 554.365Hz, to F5, 5160.64Hz 0x1429
Base: C♯5 52 554.365Hz, to F♯5, 5467.51Hz 0x155c
Base: C♯5 52 554.365Hz, to G5, 5792.62Hz 0x16a1
Base: C♯5 52 554.365Hz, to G♯5, 6137.07Hz 0x17f9
Base: C♯5 52 554.365Hz, to A5, 6502Hz 0x1966
Base: C♯5 52 554.365Hz, to A♯5, 6888.63Hz 0x1ae9
Base: C♯5 52 554.365Hz, to B5, 7298.25Hz 0x1c82
Base: C♯5 52 554.365Hz, to C6, 7732.21Hz 0x1e34
Base: C♯5 52 554.365Hz, to C♯6, 8192Hz 0x2000
Base: C♯5 52 554.365Hz, to D6, 8679.13Hz 0x21e7
Base: C♯5 52 554.365Hz, to D♯6, 9195.23Hz 0x23eb
Base: C♯5 52 554.365Hz, to E6, 9741.99Hz 0x260e
Base: C♯5 52 554.365Hz, to F6, 10321.3Hz 0x2851
Base: C♯5 52 554.365Hz, to F♯6, 10935Hz 0x2ab7
Base: C♯5 52 554.365Hz, to G6, 11585.2Hz 0x2d41
Base: C♯5 52 554.365Hz, to G♯6, 12274.1Hz 0x2ff2
Base: C♯5 52 554.365Hz, to A6, 13004Hz 0x32cc
Base: C♯5 52 554.365Hz, to A♯6, 13777.3Hz 0x35d1
Base: C♯5 52 554.365Hz, to B6, 14596.5Hz 0x3904
Base: C♯5 52 554.365Hz, to C7, 15464.4Hz 0x3c68
Base: C♯5 52 554.365Hz, to C♯7, 16384Hz 0x3fff
Base: D5 53 587.33Hz, to A0, 191.783Hz 0xc0
Base: D5 53 587.33Hz, to A♯0, 203.187Hz 0xcb
Base: D5 53 587.33Hz, to B0, 215.269Hz 0xd7
Base: D5 53 587.33Hz, to C1, 228.07Hz 0xe4
Base: D5 53 587.33Hz, to C♯1, 241.631Hz 0xf2
Base: D5 53 587.33Hz, to D1, 256Hz 0x100
Base: D5 53 587.33Hz, to D♯1, 271.223Hz 0x10f
Base: D5 53 587.33Hz, to E1, 287.35Hz 0x11f
Base: D5 53 587.33Hz, to F1, 304.437Hz 0x130
Base: D5 53 587.33Hz, to F♯1, 322.539Hz 0x143
Base: D5 53 587.33Hz, to G1, 341.719Hz 0x156
Base: D5 53 587.33Hz, to G♯1, 362.038Hz 0x16a
Base: D5 53 587.33Hz, to A1, 383.566Hz 0x180
Base: D5 53 587.33Hz, to A♯1, 406.375Hz 0x196
Base: D5 53 587.33Hz, to B1, 430.539Hz 0x1af
Base: D5 53 587.33Hz, to C2, 456.14Hz 0x1c8
Base: D5 53 587.33Hz, to C♯2, 483.264Hz 0x1e3
Base: D5 53 587.33Hz, to D2, 512Hz 0x200
Base: D5 53 587.33Hz, to D♯2, 542.444Hz 0x21e
Base: D5 53 587.33Hz, to E2, 574.7Hz 0x23f
Base: D5 53 587.33Hz, to F2, 608.874Hz 0x261
Base: D5 53 587.33Hz, to F♯2, 645.079Hz 0x285
Base: D5 53 587.33Hz, to G2, 683.438Hz 0x2ab
Base: D5 53 587.33Hz, to G♯2, 724.076Hz 0x2d4
Base: D5 53 587.33Hz, to A2, 767.133Hz 0x2ff
Base: D5 53 587.33Hz, to A♯2, 812.749Hz 0x32d
Base: D5 53 587.33Hz, to B2, 861.078Hz 0x35d
Base: D5 53 587.33Hz, to C3, 912.281Hz 0x390
Base: D5 53 587.33Hz, to C♯3, 966.524Hz 0x3c7
Base: D5 53 587.33Hz, to D3, 1024Hz 0x400
Base: D5 53 587.33Hz, to D♯3, 1084.89Hz 0x43d
Base: D5 53 587.33Hz, to E3, 1149.4Hz 0x47d
Base: D5 53 587.33Hz, to F3, 1217.75Hz 0x4c2
Base: D5 53 587.33Hz, to F♯3, 1290.16Hz 0x50a
Base: D5 53 587.33Hz, to G3, 1366.88Hz 0x557
Base: D5 53 587.33Hz, to G♯3, 1448.15Hz 0x5a8
Base: D5 53 587.33Hz, to A3, 1534.27Hz 0x5fe
Base: D5 53 587.33Hz, to A♯3, 1625.5Hz 0x659
Base: D5 53 587.33Hz, to B3, 1722.16Hz 0x6ba
Base: D5 53 587.33Hz, to C4, 1824.56Hz 0x721
Base: D5 53 587.33Hz, to C♯4, 1933.06Hz 0x78d
Base: D5 53 587.33Hz, to D4, 2048Hz 0x800
Base: D5 53 587.33Hz, to D♯4, 2169.78Hz 0x87a
Base: D5 53 587.33Hz, to E4, 2298.8Hz 0x8fb
Base: D5 53 587.33Hz, to F4, 2435.49Hz 0x983
Base: D5 53 587.33Hz, to F♯4, 2580.31Hz 0xa14
Base: D5 53 587.33Hz, to G4, 2733.75Hz 0xaae
Base: D5 53 587.33Hz, to G♯4, 2896.31Hz 0xb50
Base: D5 53 587.33Hz, to A4, 3068.53Hz 0xbfd
Base: D5 53 587.33Hz, to A♯4, 3251Hz 0xcb3
Base: D5 53 587.33Hz, to B4, 3444.31Hz 0xd74
Base: D5 53 587.33Hz, to C5, 3649.12Hz 0xe41
Base: D5 53 587.33Hz, to C♯5, 3866.1Hz 0xf1a
Base: D5 53 587.33Hz, to D5, 4096Hz 0x1000
Base: D5 53 587.33Hz, to D♯5, 4339.56Hz 0x10f4
Base: D5 53 587.33Hz, to E5, 4597.6Hz 0x11f6
Base: D5 53 587.33Hz, to F5, 4870.98Hz 0x1307
Base: D5 53 587.33Hz, to F♯5, 5160.63Hz 0x1429
Base: D5 53 587.33Hz, to G5, 5467.5Hz 0x155c
Base: D5 53 587.33Hz, to G♯5, 5792.61Hz 0x16a1
Base: D5 53 587.33Hz, to A5, 6137.06Hz 0x17f9
Base: D5 53 587.33Hz, to A♯5, 6501.99Hz 0x1966
Base: D5 53 587.33Hz, to B5, 6888.62Hz 0x1ae9
Base: D5 53 587.33Hz, to C6, 7298.22Hz 0x1c82
Base: D5 53 587.33Hz, to C♯6, 7732.21Hz 0x1e34
Base: D5 53 587.33Hz, to D6, 8192Hz 0x2000
Base: D5 53 587.33Hz, to D♯6, 8679.13Hz 0x21e7
Base: D5 53 587.33Hz, to E6, 9195.2Hz 0x23eb
Base: D5 53 587.33Hz, to F6, 9741.96Hz 0x260e
Base: D5 53 587.33Hz, to F♯6, 10321.3Hz 0x2851
Base: D5 53 587.33Hz, to G6, 10935Hz 0x2ab7
Base: D5 53 587.33Hz, to G♯6, 11585.2Hz 0x2d41
Base: D5 53 587.33Hz, to A6, 12274.1Hz 0x2ff2
Base: D5 53 587.33Hz, to A♯6, 13004Hz 0x32cc
Base: D5 53 587.33Hz, to B6, 13777.2Hz 0x35d1
Base: D5 53 587.33Hz, to C7, 14596.4Hz 0x3904
Base: D5 53 587.33Hz, to C♯7, 15464.4Hz 0x3c68
Base: D5 53 587.33Hz, to D7, 16384Hz 0x3fff
Base: D♯5 54 622.254Hz, to A0, 181.019Hz 0xb5
Base: D♯5 54 622.254Hz, to A♯0, 191.783Hz 0xc0
Base: D♯5 54 622.254Hz, to B0, 203.187Hz 0xcb
Base: D♯5 54 622.254Hz, to C1, 215.27Hz 0xd7
Base: D♯5 54 622.254Hz, to C♯1, 228.07Hz 0xe4
Base: D♯5 54 622.254Hz, to D1, 241.632Hz 0xf2
Base: D♯5 54 622.254Hz, to D♯1, 256Hz 0x100
Base: D♯5 54 622.254Hz, to E1, 271.222Hz 0x10f
Base: D♯5 54 622.254Hz, to F1, 287.35Hz 0x11f
Base: D♯5 54 622.254Hz, to F♯1, 304.437Hz 0x130
Base: D♯5 54 622.254Hz, to G1, 322.54Hz 0x143
Base: D♯5 54 622.254Hz, to G♯1, 341.719Hz 0x156
Base: D♯5 54 622.254Hz, to A1, 362.039Hz 0x16a
Base: D♯5 54 622.254Hz, to A♯1, 383.567Hz 0x180
Base: D♯5 54 622.254Hz, to B1, 406.375Hz 0x196
Base: D♯5 54 622.254Hz, to C2, 430.539Hz 0x1af
Base: D♯5 54 622.254Hz, to C♯2, 456.14Hz 0x1c8
Base: D♯5 54 622.254Hz, to D2, 483.264Hz 0x1e3
Base: D♯5 54 622.254Hz, to D♯2, 512Hz 0x200
Base: D♯5 54 622.254Hz, to E2, 542.445Hz 0x21e
Base: D♯5 54 622.254Hz, to F2, 574.701Hz 0x23f
Base: D♯5 54 622.254Hz, to F♯2, 608.874Hz 0x261
Base: D♯5 54 622.254Hz, to G2, 645.08Hz 0x285
Base: D♯5 54 622.254Hz, to G♯2, 683.437Hz 0x2ab
Base: D♯5 54 622.254Hz, to A2, 724.077Hz 0x2d4
Base: D♯5 54 622.254Hz, to A♯2, 767.134Hz 0x2ff
Base: D♯5 54 622.254Hz, to B2, 812.75Hz 0x32d
Base: D♯5 54 622.254Hz, to C3, 861.079Hz 0x35d
Base: D♯5 54 622.254Hz, to C♯3, 912.278Hz 0x390
Base: D♯5 54 622.254Hz, to D3, 966.525Hz 0x3c7
Base: D♯5 54 622.254Hz, to D♯3, 1024Hz 0x400
Base: D♯5 54 622.254Hz, to E3, 1084.89Hz 0x43d
Base: D♯5 54 622.254Hz, to F3, 1149.4Hz 0x47d
Base: D♯5 54 622.254Hz, to F♯3, 1217.75Hz 0x4c2
Base: D♯5 54 622.254Hz, to G3, 1290.16Hz 0x50a
Base: D♯5 54 622.254Hz, to G♯3, 1366.87Hz 0x557
Base: D♯5 54 622.254Hz, to A3, 1448.15Hz 0x5a8
Base: D♯5 54 622.254Hz, to A♯3, 1534.27Hz 0x5fe
Base: D♯5 54 622.254Hz, to B3, 1625.5Hz 0x65a
Base: D♯5 54 622.254Hz, to C4, 1722.16Hz 0x6ba
Base: D♯5 54 622.254Hz, to C♯4, 1824.56Hz 0x721
Base: D♯5 54 622.254Hz, to D4, 1933.06Hz 0x78d
Base: D♯5 54 622.254Hz, to D♯4, 2048Hz 0x800
Base: D♯5 54 622.254Hz, to E4, 2169.78Hz 0x87a
Base: D♯5 54 622.254Hz, to F4, 2298.8Hz 0x8fb
Base: D♯5 54 622.254Hz, to F♯4, 2435.49Hz 0x983
Base: D♯5 54 622.254Hz, to G4, 2580.32Hz 0xa14
Base: D♯5 54 622.254Hz, to G♯4, 2733.75Hz 0xaae
Base: D♯5 54 622.254Hz, to A4, 2896.31Hz 0xb50
Base: D♯5 54 622.254Hz, to A♯4, 3068.53Hz 0xbfd
Base: D♯5 54 622.254Hz, to B4, 3251Hz 0xcb3
Base: D♯5 54 622.254Hz, to C5, 3444.31Hz 0xd74
Base: D♯5 54 622.254Hz, to C♯5, 3649.12Hz 0xe41
Base: D♯5 54 622.254Hz, to D5, 3866.11Hz 0xf1a
Base: D♯5 54 622.254Hz, to D♯5, 4096Hz 0x1000
Base: D♯5 54 622.254Hz, to E5, 4339.56Hz 0x10f4
Base: D♯5 54 622.254Hz, to F5, 4597.6Hz 0x11f6
Base: D♯5 54 622.254Hz, to F♯5, 4870.99Hz 0x1307
Base: D♯5 54 622.254Hz, to G5, 5160.64Hz 0x1429
Base: D♯5 54 622.254Hz, to G♯5, 5467.5Hz 0x155c
Base: D♯5 54 622.254Hz, to A5, 5792.62Hz 0x16a1
Base: D♯5 54 622.254Hz, to A♯5, 6137.07Hz 0x17f9
Base: D♯5 54 622.254Hz, to B5, 6502Hz 0x1966
Base: D♯5 54 622.254Hz, to C6, 6888.61Hz 0x1ae9
Base: D♯5 54 622.254Hz, to C♯6, 7298.24Hz 0x1c82
Base: D♯5 54 622.254Hz, to D6, 7732.22Hz 0x1e34
Base: D♯5 54 622.254Hz, to D♯6, 8192.01Hz 0x2000
Base: D♯5 54 622.254Hz, to E6, 8679.12Hz 0x21e7
Base: D♯5 54 622.254Hz, to F6, 9195.19Hz 0x23eb
Base: D♯5 54 622.254Hz, to F♯6, 9742Hz 0x260e
Base: D♯5 54 622.254Hz, to G6, 10321.3Hz 0x2851
Base: D♯5 54 622.254Hz, to G♯6, 10935Hz 0x2ab7
Base: D♯5 54 622.254Hz, to A6, 11585.2Hz 0x2d41
Base: D♯5 54 622.254Hz, to A♯6, 12274.2Hz 0x2ff2
Base: D♯5 54 622.254Hz, to B6, 13004Hz 0x32cc
Base: D♯5 54 622.254Hz, to C7, 13777.2Hz 0x35d1
Base: D♯5 54 622.254Hz, to C♯7, 14596.5Hz 0x3904
Base: D♯5 54 622.254Hz, to D7, 15464.4Hz 0x3c68
Base: D♯5 54 622.254Hz, to D♯7, 16384Hz 0x3fff
Base: E5 55 659.255Hz, to A0, 170.86Hz 0xab
Base: E5 55 659.255Hz, to A♯0, 181.019Hz 0xb5
Base: E5 55 659.255Hz, to B0, 191.783Hz 0xc0
Base: E5 55 659.255Hz, to C1, 203.187Hz 0xcb
Base: E5 55 659.255Hz, to C♯1, 215.269Hz 0xd7
Base: E5 55 659.255Hz, to D1, 228.07Hz 0xe4
Base: E5 55 659.255Hz, to D♯1, 241.632Hz 0xf2
Base: E5 55 659.255Hz, to E1, 256Hz 0x100
Base: E5 55 659.255Hz, to F1, 271.222Hz 0x10f
Base: E5 55 659.255Hz, to F♯1, 287.35Hz 0x11f
Base: E5 55 659.255Hz, to G1, 304.437Hz 0x130
Base: E5 55 659.255Hz, to G♯1, 322.54Hz 0x143
Base: E5 55 659.255Hz, to A1, 341.719Hz 0x156
Base: E5 55 659.255Hz, to A♯1, 362.039Hz 0x16a
Base: E5 55 659.255Hz, to B1, 383.567Hz 0x180
Base: E5 55 659.255Hz, to C2, 406.375Hz 0x196
Base: E5 55 659.255Hz, to C♯2, 430.539Hz 0x1af
Base: E5 55 659.255Hz, to D2, 456.14Hz 0x1c8
Base: E5 55 659.255Hz, to D♯2, 483.263Hz 0x1e3
Base: E5 55 659.255Hz, to E2, 512Hz 0x200
Base: E5 55 659.255Hz, to F2, 542.445Hz 0x21e
Base: E5 55 659.255Hz, to F♯2, 574.701Hz 0x23f
Base: E5 55 659.255Hz, to G2, 608.874Hz 0x261
Base: E5 55 659.255Hz, to G♯2, 645.079Hz 0x285
Base: E5 55 659.255Hz, to A2, 683.438Hz 0x2ab
Base: E5 55 659.255Hz, to A♯2, 724.078Hz 0x2d4
Base: E5 55 659.255Hz, to B2, 767.134Hz 0x2ff
Base: E5 55 659.255Hz, to C3, 812.751Hz 0x32d
Base: E5 55 659.255Hz, to C♯3, 861.076Hz 0x35d
Base: E5 55 659.255Hz, to D3, 912.278Hz 0x390
Base: E5 55 659.255Hz, to D♯3, 966.524Hz 0x3c7
Base: E5 55 659.255Hz, to E3, 1024Hz 0x400
Base: E5 55 659.255Hz, to F3, 1084.89Hz 0x43d
Base: E5 55 659.255Hz, to F♯3, 1149.4Hz 0x47d
Base: E5 55 659.255Hz, to G3, 1217.75Hz 0x4c2
Base: E5 55 659.255Hz, to G♯3, 1290.16Hz 0x50a
Base: E5 55 659.255Hz, to A3, 1366.88Hz 0x557
Base: E5 55 659.255Hz, to A♯3, 1448.16Hz 0x5a8
Base: E5 55 659.255Hz, to B3, 1534.27Hz 0x5fe
Base: E5 55 659.255Hz, to C4, 1625.5Hz 0x65a
Base: E5 55 659.255Hz, to C♯4, 1722.16Hz 0x6ba
Base: E5 55 659.255Hz, to D4, 1824.56Hz 0x721
Base: E5 55 659.255Hz, to D♯4, 1933.06Hz 0x78d
Base: E5 55 659.255Hz, to E4, 2048Hz 0x800
Base: E5 55 659.255Hz, to F4, 2169.78Hz 0x87a
Base: E5 55 659.255Hz, to F♯4, 2298.8Hz 0x8fb
Base: E5 55 659.255Hz, to G4, 2435.49Hz 0x983
Base: E5 55 659.255Hz, to G♯4, 2580.32Hz 0xa14
Base: E5 55 659.255Hz, to A4, 2733.75Hz 0xaae
Base: E5 55 659.255Hz, to A♯4, 2896.31Hz 0xb50
Base: E5 55 659.255Hz, to B4, 3068.53Hz 0xbfd
Base: E5 55 659.255Hz, to C5, 3251Hz 0xcb3
Base: E5 55 659.255Hz, to C♯5, 3444.31Hz 0xd74
Base: E5 55 659.255Hz, to D5, 3649.12Hz 0xe41
Base: E5 55 659.255Hz, to D♯5, 3866.11Hz 0xf1a
Base: E5 55 659.255Hz, to E5, 4096Hz 0x1000
Base: E5 55 659.255Hz, to F5, 4339.56Hz 0x10f4
Base: E5 55 659.255Hz, to F♯5, 4597.61Hz 0x11f6
Base: E5 55 659.255Hz, to G5, 4870.99Hz 0x1307
Base: E5 55 659.255Hz, to G♯5, 5160.64Hz 0x1429
Base: E5 55 659.255Hz, to A5, 5467.5Hz 0x155c
Base: E5 55 659.255Hz, to A♯5, 5792.62Hz 0x16a1
Base: E5 55 659.255Hz, to B5, 6137.07Hz 0x17f9
Base: E5 55 659.255Hz, to C6, 6501.98Hz 0x1966
Base: E5 55 659.255Hz, to C♯6, 6888.62Hz 0x1ae9
Base: E5 55 659.255Hz, to D6, 7298.25Hz 0x1c82
Base: E5 55 659.255Hz, to D♯6, 7732.23Hz 0x1e34
Base: E5 55 659.255Hz, to E6, 8192Hz 0x2000
Base: E5 55 659.255Hz, to F6, 8679.11Hz 0x21e7
Base: E5 55 659.255Hz, to F♯6, 9195.22Hz 0x23eb
Base: E5 55 659.255Hz, to G6, 9741.98Hz 0x260e
Base: E5 55 659.255Hz, to G♯6, 10321.3Hz 0x2851
Base: E5 55 659.255Hz, to A6, 10935Hz 0x2ab7
Base: E5 55 659.255Hz, to A♯6, 11585.3Hz 0x2d41
Base: E5 55 659.255Hz, to B6, 12274.1Hz 0x2ff2
Base: E5 55 659.255Hz, to C7, 13004Hz 0x32cc
Base: E5 55 659.255Hz, to C♯7, 13777.2Hz 0x35d1
Base: E5 55 659.255Hz, to D7, 14596.5Hz 0x3904
Base: E5 55 659.255Hz, to D♯7, 15464.5Hz 0x3c68
Base: E5 55 659.255Hz, to E7, 16384Hz 0x3fff
Base: F5 56 698.456Hz, to A0, 161.27Hz 0xa1
Base: F5 56 698.456Hz, to A♯0, 170.859Hz 0xab
Base: F5 56 698.456Hz, to B0, 181.019Hz 0xb5
Base: F5 56 698.456Hz, to C1, 191.783Hz 0xc0
Base: F5 56 698.456Hz, to C♯1, 203.187Hz 0xcb
Base: F5 56 698.456Hz, to D1, 215.27Hz 0xd7
Base: F5 56 698.456Hz, to D♯1, 228.07Hz 0xe4
Base: F5 56 698.456Hz, to E1, 241.632Hz 0xf2
Base: F5 56 698.456Hz, to F1, 256Hz 0x100
Base: F5 56 698.456Hz, to F♯1, 271.223Hz 0x10f
Base: F5 56 698.456Hz, to G1, 287.35Hz 0x11f
Base: F5 56 698.456Hz, to G♯1, 304.437Hz 0x130
Base: F5 56 698.456Hz, to A1, 322.54Hz 0x143
Base: F5 56 698.456Hz, to A♯1, 341.719Hz 0x156
Base: F5 56 698.456Hz, to B1, 362.039Hz 0x16a
Base: F5 56 698.456Hz, to C2, 383.567Hz 0x180
Base: F5 56 698.456Hz, to C♯2, 406.375Hz 0x196
Base: F5 56 698.456Hz, to D2, 430.539Hz 0x1af
Base: F5 56 698.456Hz, to D♯2, 456.14Hz 0x1c8
Base: F5 56 698.456Hz, to E2, 483.264Hz 0x1e3
Base: F5 56 698.456Hz, to F2, 512.001Hz 0x200
Base: F5 56 698.456Hz, to F♯2, 542.445Hz 0x21e
Base: F5 56 698.456Hz, to G2, 574.701Hz 0x23f
Base: F5 56 698.456Hz, to G♯2, 608.873Hz 0x261
Base: F5 56 698.456Hz, to A2, 645.08Hz 0x285
Base: F5 56 698.456Hz, to A♯2, 683.439Hz 0x2ab
Base: F5 56 698.456Hz, to B2, 724.079Hz 0x2d4
Base: F5 56 698.456Hz, to C3, 767.135Hz 0x2ff
Base: F5 56 698.456Hz, to C♯3, 812.748Hz 0x32d
Base: F5 56 698.456Hz, to D3, 861.076Hz 0x35d
Base: F5 56 698.456Hz, to D♯3, 912.278Hz 0x390
Base: F5 56 698.456Hz, to E3, 966.529Hz 0x3c7
Base: F5 56 698.456Hz, to F3, 1024Hz 0x400
Base: F5 56 698.456Hz, to F♯3, 1084.89Hz 0x43d
Base: F5 56 698.456Hz, to G3, 1149.4Hz 0x47d
Base: F5 56 698.456Hz, to G♯3, 1217.75Hz 0x4c2
Base: F5 56 698.456Hz, to A3, 1290.16Hz 0x50a
Base: F5 56 698.456Hz, to A♯3, 1366.88Hz 0x557
